Start Time,Elapsed Time,Machine Name,Login,Level,Message,Exception
2021-03-30 11:02:39.9701,    0.0000,PMIIDIDNL07289,PMI\ejoharno,DEBUG,Application Start,
2021-03-30 11:02:40.1555,    0.1854,PMIIDIDNL07289,PMI\ejoharno,DEBUG,--server hmssqlismsGSKprd.id.pmi --db SMSIndonesia_GSK_PRD --query E:\SSISFiles\PDFReportRNR\query\PDFReport_RNR_QTP.sql --output C:\temp\rnr.pdf --xsltfile E:\SSISFiles\PDFReportRNR\xslt\RNR_Format_A4.xslt --Variable paramVisitCode=GSK1318096,
2021-03-30 11:02:40.9780,    0.8225,PMIIDIDNL07289,PMI\ejoharno,DEBUG,Start execute Query,
2021-03-30 11:02:41.9999,    1.0220,PMIIDIDNL07289,PMI\ejoharno,DEBUG,Finished Execute Query,
2021-03-30 11:02:42.0199,    0.0200,PMIIDIDNL07289,PMI\ejoharno,DEBUG,Start Generate PDF,
2021-03-30 11:02:43.4392,    1.4192,PMIIDIDNL07289,PMI\ejoharno,DEBUG,Start Generate PDF From File,
2021-03-30 11:02:45.8079,    2.3687,PMIIDIDNL07289,PMI\ejoharno,DEBUG,End Generate PDF From File,
2021-03-30 11:02:45.8319,    0.0240,PMIIDIDNL07289,PMI\ejoharno,DEBUG,Finished Generate PDF,
2021-03-30 11:02:45.8479,    0.0160,PMIIDIDNL07289,PMI\ejoharno,DEBUG,Application Finished. Elapsed time: 8574ms,
2021-03-30 15:11:36.1945,    0.0000,PMIIDIDNL07289,PMI\ejoharno,DEBUG,Application Start,
2021-03-30 15:11:36.3884,    0.1939,PMIIDIDNL07289,PMI\ejoharno,DEBUG,--server hmssqlismsGSKprd.id.pmi --db SMSIndonesia_GSK_PRD --query E:\SSISFiles\PDFReportRNR\query\PDFReport_RNR_QTP.sql --output C:\temp\rnr.pdf --xsltfile E:\SSISFiles\PDFReportRNR\xslt\RNR_Format_A4.xslt --Variable paramVisitCode=GSK1318096,
2021-03-30 15:11:38.0704,    1.6820,PMIIDIDNL07289,PMI\ejoharno,DEBUG,Start execute Query,
2021-03-30 15:11:43.5319,    5.4615,PMIIDIDNL07289,PMI\ejoharno,DEBUG,Finished Execute Query,
2021-03-30 15:11:43.5669,    0.0350,PMIIDIDNL07289,PMI\ejoharno,DEBUG,Start Generate PDF,
2021-03-30 15:11:44.9650,    1.3981,PMIIDIDNL07289,PMI\ejoharno,DEBUG,Start Generate PDF From File,
2021-03-30 15:11:47.7413,    2.7763,PMIIDIDNL07289,PMI\ejoharno,DEBUG,End Generate PDF From File,
2021-03-30 15:11:47.7713,    0.0300,PMIIDIDNL07289,PMI\ejoharno,DEBUG,Finished Generate PDF,
2021-03-30 15:11:47.8613,    0.0899,PMIIDIDNL07289,PMI\ejoharno,DEBUG,Application Finished. Elapsed time: 13726ms,
